,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,-394,3770
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1848,1396
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-179,238
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-65,82
4,2005,麻雀格闘倶楽部２／ＫＡ,-203,254
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,-649,2026
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,-738,1590
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,487,3247
8,2009,攻殻機動隊２／ＺＳ,-4,18
9,2010,地獄少女　宵伽ＦＳＢ,341,355
10,2011,ハイスクールオブザデッド／ＣＣ,-931,1250
11,2012,織田信奈の野望Ｓ,-152,68
12,2013,ブラックラグーンリミットブレイクＴ,-139,1069
13,2014,パチスロ閃乱カグラ／ＪＸ,-3147,4771
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-706,1364
15,2016,Ｓ　あのはな　ＺＭ,-386,1801
16,2017,結城友奈は勇者である／ＤＥ,-807,953
17,2018,回胴性ミリオンアーサーＢＮ,-1485,1212
18,2019,これはゾンビですか／ＫＡ,-271,395
19,2020,マジカルハロウィン５／ＫＡ,1122,7082
20,2021,マジカルハロウィン５／ＫＡ,3497,7029
21,2022,マジカルハロウィン５／ＫＡ,149,2644
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,0,0
23,2024,Ｓマジカルハロウィン７ＫＵ,-941,2257
24,2025,Ｓマジカルハロウィン７ＫＵ,991,2415
25,2026,Ｓマジカルハロウィン７ＫＵ,139,2408
26,2027,Ｓマジカルハロウィン７ＫＵ,-946,2345
27,2028,Ｓマジカルハロウィン７ＫＵ,-639,1889
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-75,45
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,0,0
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-399,743
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-198,147
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-563,1474
