,number,model_name,slump,allStarts,bb,rb
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,6781,3590,49,2
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-2092,1381,2,0
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,635,623,6,0
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-1537,1897,8,1
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,-4172,4931,19,0
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,-946,4841,29,1
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,250,233,2,0
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,887,4692,34,0
8,2009,ＳスカイガールズＫＫ,-1440,2476,9,2
9,2010,地獄少女　宵伽ＦＳＢ,-144,2181,29,0
10,2011,ハイスクールオブザデッド／ＣＣ,354,1931,6,1
11,2012,織田信奈の野望Ｓ,3035,2661,20,37
12,2013,ブラックラグーンリミットブレイクＴ,-421,364,1,0
13,2014,パチスロ閃乱カグラ／ＪＸ,-1655,5221,16,8
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,2103,2069,17,28
15,2016,Ｓパチスロラブ嬢２Ｌ２,-541,1077,7,2
16,2017,Ｓパチスロラブ嬢２Ｌ２,-653,1124,6,3
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,-522,1062,0,7
18,2019,コードギアス反逆のルルーシュＲ２／ＺＸ,5961,7381,36,74
19,2020,麻雀格闘倶楽部２／ＫＡ,0,0,0,0
20,2021,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,-114,141,1,1
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,2040,2329,12,0
22,2023,ＳＬＯＴギルティクラウンＵＣ,-1547,1583,3,2
23,2024,ＳＬＯＴギルティクラウンＵＣ,-1595,3465,6,20
24,2025,ＳＬＯＴギルティクラウンＵＣ,-2127,1645,2,2
25,2026,ＳＬＯＴギルティクラウンＵＣ,2883,6901,34,49
26,2027,ＳＬＯＴギルティクラウンＵＣ,-1355,957,1,0
27,2028,ＳＬＯＴギルティクラウンＵＣ,-2774,5560,18,24
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1565,1390,0,0
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4150,6695,0,0
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-163,336,0,0
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,5581,8761,0,0
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-550,538,0,0
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-775,688,0,0
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4134,4531,0,0
35,2036,戦国乙女２深淵に輝く気高き将星／Ｄ２,-389,513,1,0
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,-812,1028,3,1
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,1047,1829,17,7
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,196,100,2,0
39,2040,戦国乙女２深淵に輝く気高き将星／Ｄ２,0,0,0,0
40,2041,戦国乙女２深淵に輝く気高き将星／Ｄ２,0,0,0,0
41,2042,戦国乙女２深淵に輝く気高き将星／Ｄ２,0,0,0,0
42,2043,マジカルハロウィン５／ＫＡ,1999,2799,17,0
43,2044,マジカルハロウィン５／ＫＡ,-150,3488,21,0
