,number,model_name,slump,allStarts,bb,rb,judge
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,7334,4337,55,1,win
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,962,5072,38,0,win
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-6682,5355,13,0,lose
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-3025,4086,18,1,lose
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,3188,4644,41,2,win
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,6869,4028,50,2,win
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-4226,5112,22,0,lose
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,-942,4746,30,2,lose
8,2009,ＳスカイガールズＫＫ,-745,6917,28,37,lose
9,2010,地獄少女　宵伽ＦＳＢ,-2221,4025,21,0,lose
10,2011,ハイスクールオブザデッド／ＣＣ,4417,9641,22,15,win
11,2012,織田信奈の野望Ｓ,-1032,5925,20,48,lose
12,2013,ブラックラグーンリミットブレイクＴ,3848,9642,46,42,win
13,2014,パチスロ閃乱カグラ／ＪＸ,1008,8974,20,21,win
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,2887,10132,62,128,win
15,2016,Ｓパチスロラブ嬢２Ｌ２,-693,5000,0,11,lose
16,2017,Ｓパチスロラブ嬢２Ｌ２,-958,4340,0,7,lose
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,3485,5224,0,81,win
18,2019,コードギアス反逆のルルーシュＲ２／ＺＸ,2272,8841,33,75,win
19,2020,麻雀格闘倶楽部２／ＫＡ,-2209,3681,0,0,lose
20,2021,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,2774,9156,0,20,win
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,2809,4682,24,0,win
22,2023,ＳＬＯＴギルティクラウンＵＣ,-4493,6033,18,17,lose
23,2024,ＳＬＯＴギルティクラウンＵＣ,2552,9871,43,78,win
24,2025,ＳＬＯＴギルティクラウンＵＣ,3327,8584,30,83,win
25,2026,ＳＬＯＴギルティクラウンＵＣ,1693,8389,35,61,win
26,2027,ＳＬＯＴギルティクラウンＵＣ,13404,9489,42,158,win
27,2028,ＳＬＯＴギルティクラウンＵＣ,-2112,6848,23,38,lose
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1498,10606,0,0,win
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2442,5453,0,0,lose
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-874,6035,0,0,lose
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,591,5392,0,0,win
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4309,9574,0,0,win
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1936,7858,0,0,win
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-807,4757,0,0,lose
35,2036,戦国乙女２深淵に輝く気高き将星／Ｄ２,-4320,5560,14,9,lose
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,-1541,4462,17,9,lose
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,5103,4899,59,17,win
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,2268,4253,38,0,win
39,2040,戦国乙女２深淵に輝く気高き将星／Ｄ２,617,2555,16,5,win
40,2041,戦国乙女２深淵に輝く気高き将星／Ｄ２,4294,5945,65,15,win
41,2042,戦国乙女２深淵に輝く気高き将星／Ｄ２,1231,3414,32,7,win
42,2043,マジカルハロウィン５／ＫＡ,-2497,7333,38,0,lose
43,2044,マジカルハロウィン５／ＫＡ,-1678,6889,39,0,lose
44,2045,マジカルハロウィン５／ＫＡ,6926,9426,65,0,win
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,-2085,4991,30,14,lose
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,139,3251,37,10,win
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-98,4128,38,13,lose
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,-985,3428,27,9,lose
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,7199,4748,134,19,win
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,2431,5766,84,22,win
51,2052,パチスロガールフレンド（仮）／Ｇ４,5918,4757,69,27,win
52,2053,パチスロガールフレンド（仮）／Ｇ４,6662,4392,86,32,win
53,2054,パチスロガールフレンド（仮）／Ｇ４,7904,4618,78,29,win
54,2055,パチスロガールフレンド（仮）／Ｇ４,7950,3435,84,26,win
55,2056,パチスロガールフレンド（仮）／Ｇ４,4858,4528,78,31,win
56,2057,パチスロガールフレンド（仮）／Ｇ４,3836,5614,70,34,win
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,-610,4418,43,30,lose
58,2059,ＳＬＯＴバジリスクⅢＢＥ,3289,5500,95,13,win
59,2060,ＳＬＯＴアカギ／ＤＡ,-1451,3194,5,33,lose
60,2061,ＳＬＯＴアカギ／ＤＡ,-3287,3813,4,17,lose
61,2062,モンスターハンター狂竜戦線／ＺＳ,9575,2129,61,159,win
62,2063,パチスロウルトラセブンＫＣ,-2941,4737,22,0,lose
63,2064,バイオハザードリベレーションズ／ＺＷ,672,7387,61,0,win
64,2065,獣王　王者の覚醒／ＺＡ,3230,6783,27,36,win
65,2066,Ｓリング　恐襲ノ連鎖　ＪＡ,403,2591,16,4,win
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,-162,5321,27,24,lose
67,2068,結城友奈は勇者である／ＤＥ,1077,4162,32,20,win
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,4542,4162,79,21,win
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,3957,5080,93,23,win
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,-1213,6015,45,27,lose
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,909,5777,59,29,win
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,1809,4844,62,21,win
73,2074,Ｇ１優駿倶楽部／ＫＤ,4584,4185,63,0,win
74,2075,Ｇ１優駿倶楽部／ＫＤ,3609,4555,66,0,win
75,2076,Ｇ１優駿倶楽部／ＫＤ,-1356,4703,34,0,lose
76,2077,Ｇ１優駿倶楽部／ＫＤ,867,4472,47,0,win
77,2078,Ｇ１優駿倶楽部／ＫＤ,-1992,4419,31,0,lose
78,2079,ミリオンゴッド－神々の凱旋－ＢＤ,-2928,3048,11,0,lose
79,2080,ミリオンゴッド－神々の凱旋－ＢＤ,-1955,4400,23,0,lose
80,2081,ミリオンゴッド－神々の凱旋－ＢＤ,2127,4639,38,0,win
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,-581,4180,25,0,lose
82,2083,パチスロゴッドイーターＣＣ,-3419,4795,30,10,lose
83,2084,パチスロゴッドイーターＣＣ,-697,5321,51,24,lose
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,596,4862,31,26,win
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,-2887,5383,12,0,lose
86,2087,麻雀物語３役満乱舞の究極大戦Ｇ１,2286,5569,46,13,win
87,2088,シンデレラ×ブレイド２ＮＤ,415,4214,48,0,win
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,1644,2968,6,0,win
89,2090,やじきた道中記乙ＭＤ,647,3839,19,12,win
90,2091,やじきた道中記乙ＭＤ,-2896,3791,13,12,lose
91,2092,やじきた道中記乙ＭＤ,-5811,5248,13,12,lose
92,2093,忍魂暁ノ章／Ａ２,-1036,5507,14,14,lose
93,2094,モンキーターン２ＴＴ,-790,5443,53,0,lose
94,2095,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-872,4545,39,0,lose
95,2096,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1374,1714,2,2,lose
96,2097,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,2824,6610,43,29,win
97,2098,パチスロ　修羅の刻Ａ,-5389,6312,17,1,lose
98,2099,スーパービンゴネオＭ１,4694,4352,41,11,win
99,2100,スーパービンゴネオＭ１,-3840,2458,4,3,lose
100,2101,スーパービンゴネオＭ１,3365,2038,32,6,win
101,2102,スーパービンゴネオＭ１,1211,2570,28,3,win
102,2103,スーパービンゴネオＭ１,-7089,4456,7,6,lose
103,2104,スーパービンゴネオＭ１,-3443,4634,32,10,lose
104,2105,スーパービンゴネオＭ１,-1546,2222,22,4,lose
105,2106,アラジンＡⅡＺＳ,1966,2996,40,21,win
106,2107,パチスロ鉄拳３ＥＥ,560,3160,52,52,win
107,2108,パチスロ鉄拳３ＥＥ,4101,4759,105,110,win
108,2109,戦国コレクション２ＫＳ,-1459,2999,21,0,lose
109,2110,戦国コレクション２ＫＳ,-734,5185,49,0,lose
110,2111,パチスロ黄門ちゃま喝Ｄ１,811,4466,45,17,win
111,2112,パチスロ黄門ちゃま喝Ｄ１,-3421,4031,19,10,lose
112,2113,パチスロ黄門ちゃま喝Ｄ１,3518,4745,72,21,win
113,2114,パチスロ黄門ちゃま喝Ｄ１,-3082,4142,26,15,lose
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-54,3832,39,4,lose
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,54,6355,60,8,win
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1622,5326,37,3,lose
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2584,6074,32,5,lose
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-896,4199,35,3,lose
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1786,4400,30,2,lose
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,1714,5887,28,9,win
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,1683,2980,8,8,win
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,1481,6584,45,8,win
123,2124,Ｓ闘魂継承アントニオ猪木Ｌ３,-480,2537,15,4,lose
124,2125,Ｓ闘魂継承アントニオ猪木Ｌ３,-45,2668,17,6,lose
125,2126,Ｓ闘魂継承アントニオ猪木Ｌ３,362,4269,34,7,win
126,2127,政宗２／Ａ５,-856,4108,26,11,lose
127,2128,政宗２／Ａ５,-1185,6261,31,21,lose
128,2129,政宗２／Ａ５,6083,9947,117,15,win
129,2130,政宗２／Ａ５,-3939,7158,22,14,lose
130,2131,Ｓ天下布武４ＨＨ,3368,6660,55,43,win
131,2132,Ｓ天下布武４ＨＨ,1626,6034,34,51,win
132,2133,Ｓ天下布武４ＨＨ,1269,4708,28,24,win
133,2134,Ｓ天下布武４ＨＨ,-1168,4497,24,9,lose
